source,target,dist,street_name
5445812896,9648226757,12.62,Waversebaan
5445812896,13156907345,80.14,Waversebaan
5445812896,13156907306,5.11,Unnamed road
5445812897,203289140,13.08,Oud-Heverleestraat
5445812897,13158318970,4.66,Oud-Heverleestraat
5445812898,1470721934,2.55,Oud-Heverleestraat
5445812898,1470720297,3.43,Oud-Heverleestraat
5445812901,13156907308,5.9,Herendreef
5445812901,2629957851,5.85,Waversebaan
5445812901,251427746,9.54,Waversebaan
1459604901,1101567820,11.93,Unnamed road
1459604901,6535339411,5.0,Unnamed road
13505397452,8883557129,3.3,Unnamed road
4126289987,18484801,6.18,Unnamed road
4126289987,4126289988,9.39,Unnamed road
4126289988,4126289987,9.39,Unnamed road
4126289988,4126291889,11.81,Unnamed road
203227883,2632545733,13.11,Stanislas De Rijcklaan
203227883,1077420666,16.48,Stanislas De Rijcklaan
9468805873,9468805874,22.61,Unnamed road
9468805873,21112364,16.93,Unnamed road
9468805874,21112365,65.61,Unnamed road
9468805874,9468805873,22.61,Unnamed road
9468805875,21112368,6.23,Unnamed road
13152781048,303977836,26.44,Karmelietenberg
13152781048,6533654625,3.3,Unnamed road
13152781049,6533654625,38.88,Unnamed road
13152781050,6528072997,4.62,Zwartzustersstraat
13152781050,13152759586,6.65,Unnamed road
13152781053,373519386,21.54,Pater Damiaanplein
13152781055,12942291474,1.75,Unnamed road
13158567352,13158567353,36.93,Unnamed road
13158567352,13158567381,11.66,Unnamed road
13158567353,13158567354,43.63,Unnamed road
13158567353,13158567352,36.93,Unnamed road
848724784,21055824,18.1,Kasteelpark Arenberg
848724784,848725540,36.75,Kasteelpark Arenberg
848724784,12877326292,14.27,Unnamed road
848724784,12877326293,32.14,Unnamed road
13158318901,13158307061,2.9,Unnamed road
13158318901,13158307060,2.29,Unnamed road
13158318901,13158307100,6.7,Unnamed road
13158318902,13158307091,33.52,Unnamed road
13158318902,13158307090,21.68,Unnamed road
13158318902,17056051,4.43,Unnamed road
5322670905,13131864168,6.45,Unnamed road
13158318908,13158318910,1.16,Oud-Heverleestraat
13158318908,13158318911,0.85,Oud-Heverleestraat
13158567363,13158567364,31.41,Unnamed road
13158567363,13158567362,27.36,Unnamed road
13158318911,13158318908,0.85,Oud-Heverleestraat
13158318911,13158318912,3.37,Oud-Heverleestraat
13158318912,13158318911,3.37,Oud-Heverleestraat
13158318912,13097084002,47.8,Oud-Heverleestraat
13158318910,13158318908,1.16,Oud-Heverleestraat
13158318919,13158318920,5.4,Oud-Heverleestraat
13158318919,13156907232,131.2,Oud-Heverleestraat
13158318920,13158318921,8.59,Oud-Heverleestraat
13158318920,13158318919,5.4,Oud-Heverleestraat
13158318921,13097084002,3.42,Oud-Heverleestraat
13158318921,13158318920,8.59,Oud-Heverleestraat
12325585742,12325583036,2.96,Waversebaan
12325585742,5437870079,3.23,Waversebaan
13158318927,13158318928,1.55,Oud-Heverleestraat
13158318927,13158318931,4.0,Oud-Heverleestraat
13158318928,13158318929,2.09,Oud-Heverleestraat
13158318928,13158318927,1.55,Oud-Heverleestraat
13158318929,13158318930,4.81,Oud-Heverleestraat
13158318929,13158318928,2.09,Oud-Heverleestraat
13158318930,13156907232,4.78,Oud-Heverleestraat
13158318930,13158318929,4.81,Oud-Heverleestraat
13158318931,13158318927,4.0,Oud-Heverleestraat
13158318931,17056051,36.35,Oud-Heverleestraat
13158318936,13158318937,5.24,Oud-Heverleestraat
13158318936,13158318946,4.31,Oud-Heverleestraat
13158318937,13158318940,4.98,Oud-Heverleestraat
